,Well,Fluor,Target,Content,Sample,Cq,SQ
,A19,SYBR,H30,Unkn,1,25.9968909585913,NaN
,B19,SYBR,H30,Unkn,1,26.1243006511865,NaN
,A01,SYBR,N,Unkn,1,36.1115364360906,NaN
,B01,SYBR,N,Unkn,1,35.1184843642601,NaN
,A13,SYBR,RdRp,Unkn,1,36.9136880881749,NaN
,B13,SYBR,RdRp,Unkn,1,38.1533858665247,NaN
,A07,SYBR,S,Unkn,1,32.1851883799307,NaN
,B07,SYBR,S,Unkn,1,31.7961175909289,NaN
,C19,SYBR,H30,Unkn,2,24.4997679251452,NaN
,D19,SYBR,H30,Unkn,2,24.3957464769814,NaN
,C01,SYBR,N,Unkn,2,36.4225850323392,NaN
,D01,SYBR,N,Unkn,2,35.0683624330692,NaN
,C13,SYBR,RdRp,Unkn,2,36.1041711213387,NaN
,D13,SYBR,RdRp,Unkn,2,38.7620908641014,NaN
,C07,SYBR,S,Unkn,2,31.0851515085576,NaN
,D07,SYBR,S,Unkn,2,31.2361554293287,NaN
,E19,SYBR,H30,Unkn,3,25.7592355629565,NaN
,F19,SYBR,H30,Unkn,3,26.2400148745953,NaN
,E01,SYBR,N,Unkn,3,36.2899761657351,NaN
,F01,SYBR,N,Unkn,3,NaN,NaN
,E13,SYBR,RdRp,Unkn,3,34.2755986703604,NaN
,F13,SYBR,RdRp,Unkn,3,35.2279009512676,NaN
,E07,SYBR,S,Unkn,3,32.9634346380444,NaN
,F07,SYBR,S,Unkn,3,31.1376935960872,NaN
,G19,SYBR,H30,Unkn,4,25.7269640861123,NaN
,H19,SYBR,H30,Unkn,4,26.0922668838288,NaN
,G01,SYBR,N,Unkn,4,35.5229268482337,NaN
,H01,SYBR,N,Unkn,4,38.2216474954526,NaN
,G13,SYBR,RdRp,Unkn,4,35.7104408199742,NaN
,H13,SYBR,RdRp,Unkn,4,32.2579787490701,NaN
,G07,SYBR,S,Unkn,4,32.2159747350279,NaN
,H07,SYBR,S,Unkn,4,32.6032166293187,NaN
,I19,SYBR,H30,Unkn,5,25.1220966837658,NaN
,J19,SYBR,H30,Unkn,5,25.2328770085245,NaN
,I01,SYBR,N,Unkn,5,35.6819384036657,NaN
,J01,SYBR,N,Unkn,5,36.6933105905338,NaN
,I13,SYBR,RdRp,Unkn,5,33.043604633469,NaN
,J13,SYBR,RdRp,Unkn,5,35.5579457839796,NaN
,I07,SYBR,S,Unkn,5,32.2833966596588,NaN
,J07,SYBR,S,Unkn,5,31.746491762615,NaN
,K19,SYBR,H30,Unkn,6,25.1305813904099,NaN
,L19,SYBR,H30,Unkn,6,25.3680294455046,NaN
,K01,SYBR,N,Unkn,6,39.6112952084046,NaN
,L01,SYBR,N,Unkn,6,36.4130143433936,NaN
,K13,SYBR,RdRp,Unkn,6,36.8431341290776,NaN
,L13,SYBR,RdRp,Unkn,6,37.954872521178,NaN
,K07,SYBR,S,Unkn,6,32.4634666418973,NaN
,L07,SYBR,S,Unkn,6,32.4295053378511,NaN
,M19,SYBR,H30,Unkn,7,25.4198676617303,NaN
,N19,SYBR,H30,Unkn,7,25.5540393894905,NaN
,M01,SYBR,N,Unkn,7,36.5495204270935,NaN
,N01,SYBR,N,Unkn,7,39.214951740819,NaN
,M13,SYBR,RdRp,Unkn,7,37.6094192854237,NaN
,N13,SYBR,RdRp,Unkn,7,39.2078506036171,NaN
,M07,SYBR,S,Unkn,7,33.158029542013,NaN
,N07,SYBR,S,Unkn,7,33.2008724000976,NaN
,O19,SYBR,H30,Unkn,8,25.7977139837766,NaN
,P19,SYBR,H30,Unkn,8,26.1404349677063,NaN
,O01,SYBR,N,Unkn,8,NaN,NaN
,P01,SYBR,N,Unkn,8,NaN,NaN
,O13,SYBR,RdRp,Unkn,8,NaN,NaN
,P13,SYBR,RdRp,Unkn,8,NaN,NaN
,O07,SYBR,S,Unkn,8,NaN,NaN
,P07,SYBR,S,Unkn,8,NaN,NaN
,A20,SYBR,H30,Unkn,9,24.4510022912617,NaN
,B20,SYBR,H30,Unkn,9,24.4775283997962,NaN
,A02,SYBR,N,Unkn,9,38.7823372637082,NaN
,B02,SYBR,N,Unkn,9,NaN,NaN
,A14,SYBR,RdRp,Unkn,9,NaN,NaN
,B14,SYBR,RdRp,Unkn,9,39.0249496712953,NaN
,A08,SYBR,S,Unkn,9,36.1041711213387,NaN
,B08,SYBR,S,Unkn,9,36.89,NaN
,C20,SYBR,H30,Unkn,10,31.1851375091614,NaN
,D20,SYBR,H30,Unkn,10,31.3479680221823,NaN
,C02,SYBR,N,Unkn,10,NaN,NaN
,D02,SYBR,N,Unkn,10,NaN,NaN
,C14,SYBR,RdRp,Unkn,10,NaN,NaN
,D14,SYBR,RdRp,Unkn,10,35.7350470514578,NaN
,C08,SYBR,S,Unkn,10,39.6920223774828,NaN
,D08,SYBR,S,Unkn,10,37.6777215659949,NaN
,E20,SYBR,H30,Unkn,11,27.8532874552058,NaN
,F20,SYBR,H30,Unkn,11,27.6689813271469,NaN
,E02,SYBR,N,Unkn,11,38.7498190387506,NaN
,F02,SYBR,N,Unkn,11,39.5468803022117,NaN
,E14,SYBR,RdRp,Unkn,11,35.6038804881479,NaN
,F14,SYBR,RdRp,Unkn,11,34.9885235491734,NaN
,E08,SYBR,S,Unkn,11,33.0973961271365,NaN
,F08,SYBR,S,Unkn,11,33.3186584060532,NaN
,G20,SYBR,H30,Unkn,12,29.3514222377125,NaN
,H20,SYBR,H30,Unkn,12,29.6272658878252,NaN
,G02,SYBR,N,Unkn,12,NaN,NaN
,H02,SYBR,N,Unkn,12,39.6671527556727,NaN
,G14,SYBR,RdRp,Unkn,12,34.6627028543398,NaN
,H14,SYBR,RdRp,Unkn,12,34.7827500329272,NaN
,G08,SYBR,S,Unkn,12,35.3678173346251,NaN
,H08,SYBR,S,Unkn,12,34.9302603359232,NaN
,I20,SYBR,H30,Unkn,13,25.8414346688082,NaN
,J20,SYBR,H30,Unkn,13,25.9123616708143,NaN
,I02,SYBR,N,Unkn,13,34.1773458272892,NaN
,J02,SYBR,N,Unkn,13,32.7475940177891,NaN
,I14,SYBR,RdRp,Unkn,13,34.9102349403216,NaN
,J14,SYBR,RdRp,Unkn,13,36.4675841423455,NaN
,I08,SYBR,S,Unkn,13,31.0918327930881,NaN
,J08,SYBR,S,Unkn,13,31.2600117330446,NaN
,P24,SYBR,H30,Pos Ctrl,H30_negC,34.332089282667,NaN
,O06,SYBR,N,Pos Ctrl,N_10-2,28.8662793666805,NaN
,M06,SYBR,N,Pos Ctrl,N_10-3,32.2970945115438,NaN
,K06,SYBR,N,Pos Ctrl,N_10-4,34.7645437800083,NaN
,I06,SYBR,N,Pos Ctrl,N_10-5,32.0456443947313,NaN
,G24,SYBR,H30,NTC,NTC_H30,NaN,NaN
,H06,SYBR,N,NTC,NTC_N,36.2417552820317,NaN
,G18,SYBR,RdRp,NTC,NTC_RdRp,NaN,NaN
,G12,SYBR,S,NTC,NTC_S,33.3429055925373,NaN
,O18,SYBR,RdRp,Pos Ctrl,RdRp_10-2,26.6003078776039,NaN
,M18,SYBR,RdRp,Pos Ctrl,RdRp_10-3,31.023566431533,NaN
,L18,SYBR,RdRp,Pos Ctrl,RdRp_10-4,31.579874269485,NaN
,I18,SYBR,RdRp,Pos Ctrl,RdRp_10-5,39.4786635623525,NaN
,I12,SYBR,S,Pos Ctrl,S_10-5,40.10,NaN
,K12,SYBR,S,Pos Ctrl,S_10-4,33.043604633469,NaN
,N12,SYBR,S,Pos Ctrl,S_10-3,29.87,NaN
,P12,SYBR,S,Pos Ctrl,S_10-2,27.28,NaN
